name,position
Lorin S. Robert,"Secretary, Department of Foreign Affairs"
Marion Henry,"Secretary, Dept. of Resource & Development"
Lukner Weilbacher,"Secretary, Dept. of Transportation, Communication & Infrastructure"
Sihna Lawrence,"Secretary, Dept. of Finance & Administration"
Magdalena A. Walter,"Secretary, Department of Health & Social Affairs"
Joses R. Gallen,"Secretary, Department of Justice"
Kalwin Kephas,"Secretary, Department of Education"
Andrew Yatilman,"Secretary, Department of Environment & Emergency Management"
Ginger Porter Mida,"Post Master General, FSM Postal Services"
Dr. Rufino Mauricio,"Director, Office of National Archives, Culture & Historic Preservations"
